"","AAV2020","CODGEO","LIBAAV2020","CATEAAV2020","DEP","REG","TAAV2017","TDAAV2017","NB_COM"
"5578","000","17033","Commune hors attraction des villes","30","17","75","0","00",8932
"5579","000","64404","Commune hors attraction des villes","30","64","75","0","00",8932
"5580","000","17035","Commune hors attraction des villes","30","17","75","0","00",8932
"5581","000","32303","Commune hors attraction des villes","30","32","76","0","00",8932
"5582","000","17037","Commune hors attraction des villes","30","17","75","0","00",8932
"5583","000","41070","Commune hors attraction des villes","30","41","24","0","00",8932
"5584","000","21102","Commune hors attraction des villes","30","21","27","0","00",8932
"5585","000","67271","Commune hors attraction des villes","30","67","44","0","00",8932
"5586","000","17424","Commune hors attraction des villes","30","17","75","0","00",8932
"5587","000","17043","Commune hors attraction des villes","30","17","75","0","00",8932
"5588","000","41075","Commune hors attraction des villes","30","41","24","0","00",8932
"5589","000","67274","Commune hors attraction des villes","30","67","44","0","00",8932
"5590","000","49209","Commune hors attraction des villes","30","49","52","0","00",8932
"5591","000","23160","Commune hors attraction des villes","30","23","75","0","00",8932
"5592","000","72209","Commune hors attraction des villes","30","72","52","0","00",8932
"5593","000","32313","Commune hors attraction des villes","30","32","76","0","00",8932
"5594","000","17050","Commune hors attraction des villes","30","17","75","0","00",8932
"5595","000","79001","Commune hors attraction des villes","30","79","75","0","00",8932
"5596","000","59198","Commune hors attraction des villes","30","59","32","0","00",8932
"5597","000","25545","Commune hors attraction des villes","30","25","27","0","00",8932
"5598","000","49221","Commune hors attraction des villes","30","49","52","0","00",8932
"5599","000","17055","Commune hors attraction des villes","30","17","75","0","00",8932
"5600","000","41089","Commune hors attraction des villes","30","41","24","0","00",8932
"5601","000","32323","Commune hors attraction des villes","30","32","76","0","00",8932
"5602","000","64427","Commune hors attraction des villes","30","64","75","0","00",8932
"5603","000","23174","Commune hors attraction des villes","30","23","75","0","00",8932
"5604","000","17060","Commune hors attraction des villes","30","17","75","0","00",8932
"5605","000","17061","Commune hors attraction des villes","30","17","75","0","00",8932
"5606","000","17062","Commune hors attraction des villes","30","17","75","0","00",8932
"5607","000","25554","Commune hors attraction des villes","30","25","27","0","00",8932
"5608","000","64433","Commune hors attraction des villes","30","64","75","0","00",8932
"5609","000","64434","Commune hors attraction des villes","30","64","75","0","00",8932
"5610","000","76426","Commune hors attraction des villes","30","76","28","0","00",8932
"5611","000","30172","Commune hors attraction des villes","30","30","76","0","00",8932
"5612","000","17068","Commune hors attraction des villes","30","17","75","0","00",8932
"5613","000","64436","Commune hors attraction des villes","30","64","75","0","00",8932
"5614","000","65253","Commune hors attraction des villes","30","65","76","0","00",8932
"5615","000","76430","Commune hors attraction des villes","30","76","28","0","00",8932
"5616","000","51635","Commune hors attraction des villes","30","51","44","0","00",8932
"5617","000","72235","Commune hors attraction des villes","30","72","52","0","00",8932
"5618","000","38375","Commune hors attraction des villes","30","38","84","0","00",8932
"5619","000","67308","Commune hors attraction des villes","30","67","44","0","00",8932
"5620","000","73280","Commune hors attraction des villes","30","73","84","0","00",8932
"5621","000","17077","Commune hors attraction des villes","30","17","75","0","00",8932
"5622","000","17078","Commune hors attraction des villes","30","17","75","0","00",8932
"5623","000","45151","Commune hors attraction des villes","30","45","24","0","00",8932
"5624","000","51644","Commune hors attraction des villes","30","51","44","0","00",8932
"5625","000","59226","Commune hors attraction des villes","30","59","32","0","00",8932
"5626","000","67315","Commune hors attraction des villes","30","67","44","0","00",8932
